Question,Topic,Category,Pushed
"Explain Big-O Notation and give examples of O(n), O(log n), O(n²) time complexities.",Normal (General DSA Concepts),Basic,True
Differentiate between Time Complexity and Space Complexity with examples.,Normal (General DSA Concepts),Basic,True
"Describe a Stack data structure and its basic operations (push, pop, peek).",Normal (General DSA Concepts),Basic,True
"Describe a Queue data structure and its basic operations (enqueue, dequeue).",Normal (General DSA Concepts),Basic,True
What is a Linked List? Show how to insert an element at the end of a singly linked list.,Normal (General DSA Concepts),Basic,True
Compare iterative vs. recursive approaches with a simple function example.,Normal (General DSA Concepts),Basic,True
Implement a Stack using an array.,Normal (General DSA Concepts),Very Simple,False
Implement a Queue using an array.,Normal (General DSA Concepts),Very Simple,False
Explain pass-by-value vs pass-by-reference with examples.,Normal (General DSA Concepts),Very Simple,False
Differentiates linear vs non-linear data structures (array vs tree).,Normal (General DSA Concepts),Very Simple,False
Convert an array of elements into a singly linked list.,Normal (General DSA Concepts),Very Simple,False
Compute factorial of a number iteratively and recursively; compare both methods.,Normal (General DSA Concepts),Very Simple,False
Implement a singly Linked List with insert at head and tail operations.,Normal (General DSA Concepts),Simple,False
Implement a Stack using a Linked List.,Normal (General DSA Concepts),Simple,False
Implement a Queue using a Linked List.,Normal (General DSA Concepts),Simple,False
Explain dynamic arrays (like ArrayList) and show insertion at the end.,Normal (General DSA Concepts),Simple,False
"Compare arrays and linked lists in detail (insertion, deletion, search complexity).",Normal (General DSA Concepts),Simple,False
Reverse a singly linked list iteratively and recursively.,Normal (General DSA Concepts),Simple,False
Implement a Circular Linked List and perform basic operations.,Normal (General DSA Concepts),Medium,False
Implement a Deque (double-ended queue) and show all operations.,Normal (General DSA Concepts),Medium,False
Implement a Priority Queue using a binary heap.,Normal (General DSA Concepts),Medium,False
Explain collision handling in hashing (chaining and open addressing).,Normal (General DSA Concepts),Medium,False
Implement a hash table using chaining.,Normal (General DSA Concepts),Medium,False
Detect a cycle in a linked list (Floyd’s Cycle-Finding algorithm).,Normal (General DSA Concepts),Medium,False
Design a memory-efficient doubly linked list (using XOR linking).,Normal (General DSA Concepts),Hard,False
"Compare complexity of searching, insertion, and deletion in common data structures.",Normal (General DSA Concepts),Hard,False
Implement a thread-safe stack (consider synchronization).,Normal (General DSA Concepts),Hard,False
"Discuss balanced trees (AVL, Red-Black) and their advantages over BSTs.",Normal (General DSA Concepts),Hard,False
"Design a data structure for high-scalability applications (e.g., large-scale indexing).",Normal (General DSA Concepts),Hard,False
